2016/04/09 00:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
145,19:00〜20:00,04月08日,00:00,46,68
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
99,19:00〜20:00,04月08日,00:00
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/04/08,00:00,73,70,50
2016/04/08,01:00,70,67,48
2016/04/08,02:00,70,67,48
2016/04/08,03:00,72,69,49
2016/04/08,04:00,71,69,48
2016/04/08,05:00,71,68,48
2016/04/08,06:00,72,69,49
2016/04/08,07:00,79,77,54
2016/04/08,08:00,87,86,60
2016/04/08,09:00,92,92,63
2016/04/08,10:00,96,96,66
2016/04/08,11:00,94,98,64
2016/04/08,12:00,92,97,63
2016/04/08,13:00,96,98,66
2016/04/08,14:00,98,97,67
2016/04/08,15:00,99,96,68
2016/04/08,16:00,100,97,68
2016/04/08,17:00,99,96,68
2016/04/08,18:00,99,96,68
2016/04/08,19:00,99,99,68
2016/04/08,20:00,95,95,65
2016/04/08,21:00,90,90,62
2016/04/08,22:00,84,83,57
2016/04/08,23:00,78,76,53
最大使用率(%),時間帯
68,19:00〜20:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
145,19:00〜20:00,04月09日,00:00,42,70
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
102,19:00〜20:00,04月09日,00:00
DATE,TIME,当日実績(5分間隔値)(万kW)
2016/04/08,10:10,97
2016/04/08,10:15,97
2016/04/08,10:20,96
2016/04/08,10:25,96
2016/04/08,10:30,97
2016/04/08,10:35,98
2016/04/08,10:40,98
2016/04/08,10:45,98
2016/04/08,10:50,97
2016/04/08,10:55,98
2016/04/08,11:00,97
2016/04/08,11:05,96
2016/04/08,11:10,95
2016/04/08,11:15,95
2016/04/08,11:20,94
2016/04/08,11:25,94
2016/04/08,11:30,94
2016/04/08,11:35,95
2016/04/08,11:40,95
2016/04/08,11:45,95
2016/04/08,11:50,95
2016/04/08,11:55,94
2016/04/08,12:00,94
2016/04/08,12:05,94
2016/04/08,12:10,93
2016/04/08,12:15,93
2016/04/08,12:20,92
2016/04/08,12:25,92
2016/04/08,12:30,92
2016/04/08,12:35,94
2016/04/08,12:40,94
2016/04/08,12:45,94
2016/04/08,12:50,94
2016/04/08,12:55,94
2016/04/08,13:00,94
2016/04/08,13:05,96
2016/04/08,13:10,96
2016/04/08,13:15,96
2016/04/08,13:20,96
2016/04/08,13:25,96
2016/04/08,13:30,97
2016/04/08,13:35,97
2016/04/08,13:40,97
2016/04/08,13:45,98
2016/04/08,13:50,98
2016/04/08,13:55,99
2016/04/08,14:00,99
2016/04/08,14:05,99
2016/04/08,14:10,99
2016/04/08,14:15,99
2016/04/08,14:20,99
2016/04/08,14:25,98
2016/04/08,14:30,99
2016/04/08,14:35,98
2016/04/08,14:40,98
2016/04/08,14:45,98
2016/04/08,14:50,98
2016/04/08,14:55,98
2016/04/08,15:00,99
2016/04/08,15:05,98
2016/04/08,15:10,98
2016/04/08,15:15,99
2016/04/08,15:20,99
2016/04/08,15:25,100
2016/04/08,15:30,101
2016/04/08,15:35,100
2016/04/08,15:40,101
2016/04/08,15:45,101
2016/04/08,15:50,102
2016/04/08,15:55,101
2016/04/08,16:00,101
2016/04/08,16:05,100
2016/04/08,16:10,100
2016/04/08,16:15,100
2016/04/08,16:20,100
2016/04/08,16:25,100
2016/04/08,16:30,101
2016/04/08,16:35,100
2016/04/08,16:40,100
2016/04/08,16:45,100
2016/04/08,16:50,101
2016/04/08,16:55,101
2016/04/08,17:00,101
2016/04/08,17:05,100
2016/04/08,17:10,100
2016/04/08,17:15,100
2016/04/08,17:20,100
2016/04/08,17:25,100
2016/04/08,17:30,100
2016/04/08,17:35,99
2016/04/08,17:40,99
2016/04/08,17:45,99
2016/04/08,17:50,99
2016/04/08,17:55,99
2016/04/08,18:00,100
2016/04/08,18:05,98
2016/04/08,18:10,99
2016/04/08,18:15,99
2016/04/08,18:20,100
2016/04/08,18:25,100
2016/04/08,18:30,100
2016/04/08,18:35,100
2016/04/08,18:40,100
2016/04/08,18:45,100
2016/04/08,18:50,101
2016/04/08,18:55,101
2016/04/08,19:00,101
2016/04/08,19:05,101
2016/04/08,19:10,101
2016/04/08,19:15,101
2016/04/08,19:20,100
2016/04/08,19:25,100
2016/04/08,19:30,100
2016/04/08,19:35,100
2016/04/08,19:40,99
2016/04/08,19:45,99
2016/04/08,19:50,99
2016/04/08,19:55,98
2016/04/08,20:00,98
2016/04/08,20:05,98
2016/04/08,20:10,97
2016/04/08,20:15,97
2016/04/08,20:20,97
2016/04/08,20:25,96
2016/04/08,20:30,96
2016/04/08,20:35,95
2016/04/08,20:40,95
2016/04/08,20:45,94
2016/04/08,20:50,94
2016/04/08,20:55,94
2016/04/08,21:00,94
2016/04/08,21:05,93
2016/04/08,21:10,92
2016/04/08,21:15,92
2016/04/08,21:20,91
2016/04/08,21:25,91
2016/04/08,21:30,91
2016/04/08,21:35,91
2016/04/08,21:40,90
2016/04/08,21:45,89
2016/04/08,21:50,89
2016/04/08,21:55,89
2016/04/08,22:00,88
2016/04/08,22:05,87
2016/04/08,22:10,87
2016/04/08,22:15,86
2016/04/08,22:20,86
2016/04/08,22:25,85
2016/04/08,22:30,85
2016/04/08,22:35,84
2016/04/08,22:40,83
2016/04/08,22:45,83
2016/04/08,22:50,83
2016/04/08,22:55,82
2016/04/08,23:00,82
2016/04/08,23:05,82
2016/04/08,23:10,81
2016/04/08,23:15,81
2016/04/08,23:20,80
2016/04/08,23:25,80
2016/04/08,23:30,79
2016/04/08,23:35,79
2016/04/08,23:40,79
2016/04/08,23:45,78
2016/04/08,23:50,77
2016/04/08,23:55,77
