2022/4/17 1:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%),
2022/4/16,4:45,1304,0,,
2022/4/16,4:50,1299,0,,
2022/4/16,4:55,1282,0,,
2022/4/16,5:00,1262,0,,
2022/4/16,5:05,1272,0,,
2022/4/16,5:10,1272,0,,
2022/4/16,5:15,1275,0,,
2022/4/16,5:20,1273,0,,
2022/4/16,5:25,1266,0,,
2022/4/16,5:30,1266,0,,
2022/4/16,5:35,1257,2,,
2022/4/16,5:40,1255,4,,
2022/4/16,5:45,1250,8,,
2022/4/16,5:50,1234,12,,
2022/4/16,5:55,1236,17,,
2022/4/16,6:00,1231,18,,
2022/4/16,6:05,1238,22,,
2022/4/16,6:10,1238,28,,
2022/4/16,6:15,1232,35,,
2022/4/16,6:20,1236,42,,
2022/4/16,6:25,1231,50,,
2022/4/16,6:30,1233,59,,
2022/4/16,6:35,1237,67,,
2022/4/16,6:40,1235,76,,
2022/4/16,6:45,1242,84,,
2022/4/16,6:50,1241,93,,
2022/4/16,6:55,1231,101,,
2022/4/16,7:00,1249,101,,
2022/4/16,7:05,1238,111,,
2022/4/16,7:10,1242,121,,
2022/4/16,7:15,1250,131,,
2022/4/16,7:20,1260,141,,
2022/4/16,7:25,1263,148,,
2022/4/16,7:30,1271,157,,
2022/4/16,7:35,1272,166,,
2022/4/16,7:40,1263,175,,
2022/4/16,7:45,1281,183,,
2022/4/16,7:50,1294,190,,
2022/4/16,7:55,1302,198,,
2022/4/16,8:00,1303,201,,
2022/4/16,8:05,1316,205,,
2022/4/16,8:10,1324,212,,
2022/4/16,8:15,1340,215,,
2022/4/16,8:20,1350,219,,
2022/4/16,8:25,1346,224,,
2022/4/16,8:30,1340,228,,
2022/4/16,8:35,1361,233,,
2022/4/16,8:40,1382,236,,
2022/4/16,8:45,1381,243,,
2022/4/16,8:50,1392,248,,
2022/4/16,8:55,1390,252,,
2022/4/16,9:00,1400,259,,
2022/4/16,9:05,1414,268,,
2022/4/16,9:10,1398,274,,
2022/4/16,9:15,1400,281,,
2022/4/16,9:20,1421,288,,
2022/4/16,9:25,1430,299,,
2022/4/16,9:30,1416,306,,
2022/4/16,9:35,1439,311,,
2022/4/16,9:40,1441,318,,
2022/4/16,9:45,1424,328,,
2022/4/16,9:50,1418,336,,
2022/4/16,9:55,1420,341,,
2022/4/16,10:00,1430,346,,
2022/4/16,10:05,1430,349,,
2022/4/16,10:10,1436,351,,
2022/4/16,10:15,1451,357,,
2022/4/16,10:20,1432,365,,
2022/4/16,10:25,1439,370,,
2022/4/16,10:30,1423,377,,
2022/4/16,10:35,1445,391,,
2022/4/16,10:40,1447,402,,
2022/4/16,10:45,1441,408,,
2022/4/16,10:50,1451,414,,
2022/4/16,10:55,1438,421,,
2022/4/16,11:00,1446,422,,
2022/4/16,11:05,1446,427,,
2022/4/16,11:10,1432,435,,
2022/4/16,11:15,1431,447,,
2022/4/16,11:20,1435,448,,
2022/4/16,11:25,1451,447,,
2022/4/16,11:30,1457,450,,
2022/4/16,11:35,1457,449,,
2022/4/16,11:40,1461,455,,
2022/4/16,11:45,1446,457,,
2022/4/16,11:50,1449,461,,
2022/4/16,11:55,1454,462,,
2022/4/16,12:00,1427,467,,
2022/4/16,12:05,1448,473,,
2022/4/16,12:10,1428,477,,
2022/4/16,12:15,1410,478,,
2022/4/16,12:20,1411,481,,
2022/4/16,12:25,1408,483,,
2022/4/16,12:30,1410,483,,
2022/4/16,12:35,1400,483,,
2022/4/16,12:40,1402,483,,
2022/4/16,12:45,1404,487,,
2022/4/16,12:50,1398,490,,
2022/4/16,12:55,1389,494,,
2022/4/16,13:00,1393,499,,
2022/4/16,13:05,1401,499,,
2022/4/16,13:10,1407,499,,
2022/4/16,13:15,1421,496,,
2022/4/16,13:20,1411,498,,
2022/4/16,13:25,1408,495,,
2022/4/16,13:30,1400,492,,
2022/4/16,13:35,1395,490,,
2022/4/16,13:40,1385,485,,
2022/4/16,13:45,1392,481,,
2022/4/16,13:50,1381,476,,
2022/4/16,13:55,1382,471,,
2022/4/16,14:00,1384,466,,
2022/4/16,14:05,1380,460,,
2022/4/16,14:10,1374,452,,
2022/4/16,14:15,1376,442,,
2022/4/16,14:20,1368,435,,
2022/4/16,14:25,1353,428,,
2022/4/16,14:30,1358,421,,
2022/4/16,14:35,1356,414,,
2022/4/16,14:40,1357,406,,
2022/4/16,14:45,1351,397,,
2022/4/16,14:50,1347,388,,
2022/4/16,14:55,1341,381,,
2022/4/16,15:00,1350,373,,
2022/4/16,15:05,1346,367,,
2022/4/16,15:10,1337,361,,
2022/4/16,15:15,1336,353,,
2022/4/16,15:20,1332,345,,
2022/4/16,15:25,1335,336,,
2022/4/16,15:30,1336,326,,
2022/4/16,15:35,1338,317,,
2022/4/16,15:40,1339,308,,
2022/4/16,15:45,1343,297,,
2022/4/16,15:50,1346,287,,
2022/4/16,15:55,1355,277,,
2022/4/16,16:00,1355,270,,
2022/4/16,16:05,1343,260,,
2022/4/16,16:10,1346,249,,
2022/4/16,16:15,1341,238,,
2022/4/16,16:20,1351,227,,
2022/4/16,16:25,1356,216,,
2022/4/16,16:30,1356,205,,
2022/4/16,16:35,1359,193,,
2022/4/16,16:40,1363,182,,
2022/4/16,16:45,1363,171,,
2022/4/16,16:50,1365,159,,
2022/4/16,16:55,1375,148,,
2022/4/16,17:00,1377,147,,
2022/4/16,17:05,1395,136,,
2022/4/16,17:10,1386,124,,
2022/4/16,17:15,1395,113,,
2022/4/16,17:20,1398,101,,
2022/4/16,17:25,1395,90,,
2022/4/16,17:30,1392,79,,
2022/4/16,17:35,1391,68,,
2022/4/16,17:40,1405,57,,
2022/4/16,17:45,1400,44,,
2022/4/16,17:50,1401,33,,
2022/4/16,17:55,1401,27,,
2022/4/16,18:00,1398,27,,
2022/4/16,18:05,1416,20,,
2022/4/16,18:10,1410,14,,
2022/4/16,18:15,1421,9,,
2022/4/16,18:20,1418,4,,
2022/4/16,18:25,1422,1,,
2022/4/16,18:30,1426,0,,
2022/4/16,18:35,1437,0,,
2022/4/16,18:40,1452,0,,
2022/4/16,18:45,1453,0,,
2022/4/16,18:50,1454,0,,
2022/4/16,18:55,1467,0,,
2022/4/16,19:00,1468,0,,
2022/4/16,19:05,1476,0,,
2022/4/16,19:10,1465,0,,
2022/4/16,19:15,1469,0,,
2022/4/16,19:20,1473,0,,
2022/4/16,19:25,1474,0,,
2022/4/16,19:30,1470,0,,
2022/4/16,19:35,1451,0,,
2022/4/16,19:40,1447,0,,
2022/4/16,19:45,1460,0,,
2022/4/16,19:50,1450,0,,
2022/4/16,19:55,1454,0,,
2022/4/16,20:00,1462,0,,
2022/4/16,20:05,1445,0,,
2022/4/16,20:10,1440,0,,
2022/4/16,20:15,1441,0,,
2022/4/16,20:20,1430,0,,
2022/4/16,20:25,1425,0,,
2022/4/16,20:30,1428,0,,
2022/4/16,20:35,1432,0,,
2022/4/16,20:40,1430,0,,
2022/4/16,20:45,1424,0,,
2022/4/16,20:50,1421,0,,
2022/4/16,20:55,1416,0,,
2022/4/16,21:00,1411,0,,
2022/4/16,21:05,1409,0,,
2022/4/16,21:10,1400,0,,
2022/4/16,21:15,1393,0,,
2022/4/16,21:20,1388,0,,
2022/4/16,21:25,1386,0,,
2022/4/16,21:30,1376,0,,
2022/4/16,21:35,1374,0,,
2022/4/16,21:40,1362,0,,
2022/4/16,21:45,1364,0,,
2022/4/16,21:50,1354,0,,
2022/4/16,21:55,1354,0,,
2022/4/16,22:00,1343,0,,
2022/4/16,22:05,1335,0,,
2022/4/16,22:10,1336,0,,
2022/4/16,22:15,1339,0,,
2022/4/16,22:20,1336,0,,
2022/4/16,22:25,1331,0,,
2022/4/16,22:30,1327,0,,
2022/4/16,22:35,1304,0,,
2022/4/16,22:40,1310,0,,
2022/4/16,22:45,1309,0,,
2022/4/16,22:50,1309,0,,
2022/4/16,22:55,1288,0,,
2022/4/16,23:00,1262,0,,
2022/4/16,23:05,1283,0,,
2022/4/16,23:10,1288,0,,
2022/4/16,23:15,1278,0,,
2022/4/16,23:20,1284,0,,
2022/4/16,23:25,1276,0,,
2022/4/16,23:30,1284,0,,
2022/4/16,23:35,1271,0,,
2022/4/16,23:40,1253,0,,
2022/4/16,23:45,1238,0,,
2022/4/16,23:50,1229,0,,
2022/4/16,23:55,1222,0,,
